web_id|media_type|total_unique_visitors_(000)|%_reach|%_composition_unique_visitors|composition_index_uv|composition_index_pv|average_daily_visitors_(000)|total_minutes_(mm)|average_minutes_per_usage_day|total_pages_viewed_(mm)|average_pages_per_usage_day|average_minutes_per_page|average_usage_days_per_visitor|average_minutes_per_visitor|average_pages_per_visitor|%_composition_pages|%_composition_minutes|total_visits_(000)|average_minutes_per_visit|average_visits_per_visitor|average_visits_per_usage_day|average_pages_per_visit|source_system
9766654|24HEURES.CH|47.54351919|0.0189825227949527|20.0917546265036|145.178820835271|242.926554815583|9.84589542929032|0.341103545123|1.11755606631008|0.93694833846|3.06971977992063|0.364058007385604|6.4198604459259|7.17455398620861|19.7071725951888|37.832217604499|32.330842084683|682.321|0.499916527738411|14.3515038773889|2.23548533465342|1.37317822324097|keymeasure
13665123|ED.NL|47.308961788|0.0188888719397773|15.623044876822|112.888857904007|40.4331547662004|3.10658575348387|0.417200932585|4.33211752948509|0.365044582104|3.7905381068488|1.14287665955864|2.03564303079734|8.81864485749133|7.7161824801785|6.29686577785835|6.82802042471928|133.733|3.11965582604892|2.82680056686261|1.38865239341859|2.72965223321095|keymeasure
16445465|DORZECZY.PL|47.266317236|0.0188718454092593|53.1361647822042|383.950824116325|222.420594979971|1.909592112|0.131084453871|2.21436334150099|0.103490751424|1.74823268030868|1.26662964629515|1.25242157489082|2.77331642354316|2.18952432674778|34.6387176790629|40.6406224240716|61.589|2.12837444788842|1.30302091640622|1.04040120557634|1.68034472753251|keymeasure
3526082|SHIKOKU-NP.CO.JP|47.199375116|0.0188451176797919|61.1692337010208|441.996101644444|483.234752123211|2.79368335877419|0.182289788563|2.10486121901694|0.260181349464|3.00425842124995|0.700625886284837|1.83485870118315|3.86212292249619|5.51238970483323|75.2566647572145|83.5061619092459|93.667|1.94614740050391|1.98449661186824|1.08155282506964|2.77772694186853|keymeasure
5896325|CYOL.NET|47.1908132|0.018841699195666|37.8795685392906|273.70984747289|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
5278429|Boone Newspapers|47.091812797|0.0188021716756449|18.0166719780579|130.184707198243|169.254573250823|3.44409319141935|0.453598240526|4.24849169114968|0.719965672574|6.7433422455445|0.630027594099465|2.26720702798686|9.63221022051835|15.2885529312192|26.3588962130664|25.0675607543305|120.629|3.7602752283945|2.56157053286521|1.12983530010478|5.96842942057051|keymeasure
6443668|THETHAOVANHOA.VN|47.011386754|0.0187700602707559|11.7231096444473|84.7087407915263|63.2206725408583|3.22424440690323|0.1314909693|1.31554672526879|0.244715799807|2.44834356892699|0.537321126807926|2.12611419307888|2.79700256425241|5.20545801142907|9.84568460407399|9.28760417063398|112.349|1.17037952540744|2.38982526909697|1.12403429546567|2.17817514892878|keymeasure
5230885|DNEVNIK.BG|46.906552414|0.0187282034565645|15.0805095305551|108.968610852583|171.789252169618|3.99422534777419|0.838686234752|6.77337714170173|1.577249860691|12.7381465326133|0.531739615677993|2.63973750805961|17.8799376971837|33.6253631852987|26.7536349623405|31.4926603718085|150.993|5.5544709672104|3.219017221034|1.21944595294257|10.4458475604233|keymeasure
3600423|LN-ONLINE.DE|46.78399694|0.0186792711915894|32.0384271676282|231.502980405569|132.606448635884|2.67083301051613|0.087370195903|1.05524883252853|0.312419192921|3.7733689982269|0.279656941323361|1.7697466813745|1.86752311939169|6.6779072622135|20.6514928940603|14.5392522137261|94.184|0.927654335163085|2.01316702634001|1.13754530381515|3.31711535845791|keymeasure
4735248|ANANDABAZAR.COM|46.721404252|0.0186542800435423|10.0476971028877|72.6025598373059|55.2023307503375|7.68379752412903|1.941281832117|8.14987568162367|1.176297790406|4.93832507870487|1.65033195501198|5.0982569351563|41.5501602144995|25.1768500805634|8.59694647547986|8.45106521941879|271.246|7.15690492068823|5.80560461190309|1.13874304213056|4.33664566631766|keymeasure
17948942|ZIARULLUMINA.RO|46.647444671|0.0186247504787109|31.2048521135165|225.479741236901|174.334688736474|1.74075231619355|0.115954735274|2.14876941229557|0.089969876521|1.66724125788834|1.28881732150577|1.15683339532526|2.48576821499694|1.92872036518933|27.1500490561759|31.2401282559566|55.303|2.09671691000488|1.1855526147262|1.02482571778875|1.62685345317614|keymeasure
7745946|LEBERRY.FR|46.603253722|0.018607106524056|37.2134679323323|268.896743666202|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
